date,total,ratio,allconvrate,control,control_conv,control_convrate,treatment,treat_conv,treat_convrate
1/2/2017,5783,0.998272287,0.122773647,2894,362,0.125086386,2889,348,0.120456906
1/3/2017,19177,1.002192525,0.116389425,9578,1122,0.117143454,9599,1110,0.115637046
1/4/2017,32460,0.999753573,0.117529267,16232,1932,0.11902415,16228,1883,0.116034015
1/5/2017,45585,1.001888367,0.117889657,22771,2733,0.120021079,22814,2641,0.115762251
1/6/2017,59113,1.006891869,0.118417269,29455,3511,0.119198778,29658,3489,0.117641109
1/7/2017,72493,1.006282346,0.11837005,36133,4316,0.119447596,36360,4265,0.11729923
1/8/2017,86058,1.00592047,0.118606056,42902,5121,0.119365065,43156,5086,0.117851515
1/9/2017,99497,1.004896528,0.118666894,49627,5927,0.119430955,49870,5880,0.117906557
1/10/2017,113020,1.004896048,0.11881083,56372,6690,0.118675938,56648,6738,0.118945064
1/11/2017,126573,1.004037429,0.118674599,63159,7498,0.118716256,63414,7523,0.118633109
1/12/2017,139895,1.004973199,0.119017835,69774,8307,0.119055809,70121,8343,0.118980049
1/13/2017,153133,1.003755414,0.118609313,76423,9086,0.11889091,76710,9077,0.118328771
1/14/2017,166462,1.004165764,0.118970095,83058,9928,0.11953093,83404,9876,0.118411587
1/15/2017,179911,1.001969577,0.118858769,89867,10751,0.119632346,90044,10633,0.118086713
1/16/2017,193238,1.001429311,0.118998334,96550,11567,0.119803211,96688,11428,0.118194605
1/17/2017,206560,1.000755514,0.119369675,103241,12385,0.119962031,103319,12272,0.118777766
1/18/2017,219845,1.00188492,0.119684323,109819,13205,0.120243309,110026,13107,0.119126388
1/19/2017,233137,1.001450843,0.119616363,116484,14000,0.12018818,116653,13887,0.119045374
1/20/2017,246531,1.002526196,0.119445425,123110,14763,0.119917147,123421,14684,0.118974891
1/21/2017,260006,1.001077478,0.119528011,129933,15622,0.120231196,130073,15456,0.118825583
1/22/2017,273429,1.001559206,0.119478914,136608,16418,0.120183298,136821,16251,0.118775627
1/23/2017,286940,1.001101882,0.119666132,143391,17272,0.120453864,143549,17065,0.118879268
1/24/2017,294478,1.000502711,0.119659194,147202,17723,0.120399179,147276,17514,0.11891958
